country,facility_name,town,address,latitude,longitude,coord_precision,outdoor_courts,surface,lighting,free_use,access,owner,lipas_id,source_url,data_cutoff,fact_check_notes
FINLAND,Kyrönniemen beachvolleykenttä 2,,"Kyrönniemenkatu, 57200",61.863153,28.909190,address,1,sand,,,public,city,511651,http://www.savonlinna.fi/,2026-05-09,LIPAS id 511651; type 1330; status active
FINLAND,Kyrönniemen beachvolleykenttä 3,,"Kyrönniemenkatu, 57200",61.863252,28.909216,address,1,sand,,,public,city,511652,http://www.savonlinna.fi/,2026-05-09,LIPAS id 511652; type 1330; status active
FINLAND,Kyrönniemen beachvolleykenttä 4,,"Kyrönniemenkatu, 57200",61.863060,28.908804,address,1,sand,,,public,city,511653,http://www.savonlinna.fi/,2026-05-09,LIPAS id 511653; type 1330; status active
FINLAND,Kyrönniemen beachvolleykenttä 5,,"Kyrönniemenkatu, 57200",61.863150,28.908791,address,1,sand,,,public,city,511654,http://www.savonlinna.fi/,2026-05-09,LIPAS id 511654; type 1330; status active
FINLAND,Kyrönniemen beachvolleykenttä 6,,"Kyrönniemenkatu, 57200",61.863262,28.908779,address,1,sand,,,public,city,511655,http://www.savonlinna.fi/,2026-05-09,LIPAS id 511655; type 1330; status active
FINLAND,Kyyhkylän beachvolleykenttä,,"Kyyhkyläntie 6A, 50700",61.635862,27.290005,address,,,,,public,company-ltd,603258,,2026-05-09,LIPAS id 603258; type 1330; status active
FINLAND,Laukolan koulun beach volley,,"Laukolan koulutie, 21290",60.610464,22.304024,address,,,,yes,school,city,524695,,2026-05-09,LIPAS id 524695; type 1330; status active
FINLAND,Lehmijärven beachvolleykenttä 1,,"Lehmirannantie 121, 25170",60.299859,23.075069,address,1,sand,,yes,public,city,512143,https://salo.fi/vapaa-aika-ja-matkailu/liikunta/ulkoliikuntapaikat/uimarannat/?mid=5-3011,2026-05-09,LIPAS id 512143; type 1330; status active
FINLAND,Lehtimäen kenttä,,"Laitalantie, 35100",61.657981,24.366965,address,,sand,,yes,public,city,614113,www.orivesi.fi,2026-05-09,LIPAS id 614113; type 1330; status active
FINLAND,Lielahden beachvolleykenttä,,"Teivaalantie 2, 33400",61.521905,23.669041,address,1,sand,,,public,city,510096,http://www.tampere.fi/,2026-05-09,LIPAS id 510096; type 1330; status active
FINLAND,Liikennepuiston beachvolleykenttä,,"Mettäkuja, 62100",62.957917,23.042189,address,,,,,public,city,614500,,2026-05-09,LIPAS id 614500; type 1330; status active
FINLAND,Lukion beachvolleyskenttä,,"Lukiontie 2, 04600",60.639682,25.318205,address,,,,,public,city,618775,,2026-05-09,LIPAS id 618775; type 1330; status active
FINLAND,Märynummen beachvolleykenttä ,,"Hirvitie 92, 25250",60.445841,23.050594,address,1,sand,,,public,city,512059,https://salo.fi/vapaa-aika-ja-matkailu/liikunta/ulkoliikuntapaikat/kentat/beach-volley-lentopallo-koripallo/?mid=5-3016,2026-05-09,LIPAS id 512059; type 1330; status active
